x,y,p
37.8715926,-122.272747,116768
26.271192,-80.2706044,126604
35.2045328,-89.8739753,58226
39.4863773,-75.0259637,61050
44.519159,-88.019826,104779
26.9342246,-80.0942087,58298
32.6926512,-114.6276916,91923
36.3047735,-86.6199957,54068
34.1283442,-117.2086513,54291
32.792,-115.5630514,43363
39.5186002,-104.7613633,48608
41.5067003,-90.5151342,43116
32.9342919,-97.0780654,50195
38.8402805,-97.6114237,47846
40.0581205,-82.4012642,47777
38.3396367,-122.7010984,41398
38.0193657,-122.1341321,37165
41.5094771,-90.5787476,38877
32.3643098,-88.703656,40921
35.1595182,-84.8766115,42774
33.0806083,-96.8928309,39458
42.3875968,-71.0994968,78804
37.3541079,-121.9552356,120245
26.7153424,-80.0533746,102436
25.9420377,-80.2456045,111378
33.9137085,-98.4933873,104898
40.4167022,-86.8752869,70373
42.0450722,-87.6876969,75570
45.487062,-122.8037102,93542
43.0125274,-83.6874562,99763
27.9094665,-82.7873244,78409
36.0956918,-79.4377991,51510
38.4192496,-82.445154,49177
38.0279762,-121.8846806,66695
35.4495065,-97.3967019,56756
36.548434,-82.5618186,52962
29.9940924,-90.2417434,66975
38.1341477,-121.2722194,63338
44.8896866,-93.3499489,49376
41.9125286,-88.1347927,40379
34.4047987,-103.2052272,39508
28.5691677,-81.5439619,39172
41.04422,-83.6499321,41512
41.1616108,-112.0263313,37733
33.9698929,-84.2214551,40059
34.1705609,-118.8375937,128731
34.0522342,-118.2436849,3884307
40.7281575,-74.0776417,257342
38.440429,-122.7140548,171990
47.6587802,-117.4260466,210721
39.2903848,-76.6121893,622104
37.8043637,-122.2711137,406253
36.7468422,-119.7725868,509924
44.9537029,-93.0899578,294873
34.5362184,-117.2927641,121096
26.1224386,-80.1373174,172389
37.2089572,-93.2922989,164122
41.8781136,-87.6297982,2718782
42.331427,-83.0457538,688701
41.525031,-88.0817251,147806
38.8813958,-94.8191285,131885
27.5305671,-99.4803241,248142
32.912624,-96.6388833,234566
46.2112458,-119.1372338,76762
37.9357576,-122.3477486,107571
32.6130007,-83.624201,72531
29.5844524,-81.2078699,78740
34.0289259,-84.198579,82788
45.7832856,-108.5006904,109059
28.0836269,-80.6081089,77508
28.9005446,-81.2636738,86290
41.5933696,-87.3464271,78450
40.5649781,-111.8389726,90231
34.9248667,-81.0250784,69103
46.8083268,-100.7837392,67034
32.8795022,-111.7573521,50111
43.0494572,-88.0075875,47134
39.1637984,-119.7674034,54080
34.1336186,-117.9075627,47842
29.6185669,-95.5377215,70185
42.492786,-92.3425775,68366
42.7284117,-73.6917851,49974
37.1305012,-121.6543901,40836
42.0986867,-75.9179738,46444
42.51954,-70.8967155,42544
35.7478769,-95.3696909,38863
34.2284312,-92.0031955,46094
40.6576022,-73.5831835,43167
41.8800296,-88.0078435,43907
39.3454673,-84.5603187,42635
47.3223221,-122.3126222,92734
42.6334247,-71.3161718,108861
35.4087517,-80.579511,83506
36.060949,-95.7974526,103500
27.9658533,-82.8001026,109703
40.0149856,-105.2705456,103166
47.3809335,-122.2348431,124435
40.6096698,-111.9391031,110077
43.6121087,-116.3915131,83596
41.6611277,-91.5301683,71591
38.5890723,-121.302728,67911
42.3369816,-83.2732627,56620
33.4269728,-117.6119925,65040
40.6337136,-74.4073736,50588
34.033625,-117.0430865,52536
33.3703197,-112.5837766,56683
33.8839926,-84.5143761,53438
42.5005583,-90.6645718,58253
40.4406248,-79.9958864,305841
41.1865478,-73.1951767,147216
41.308274,-72.9278835,130660
36.1626638,-86.7816016,634464
33.8352932,-117.9145036,345012
38.6270025,-90.1994042,318416
43.0481221,-76.1474244,144669
21.3069444,-157.8583333,347884
41.7605849,-88.3200715,199963
44.9597376,-93.3702186,47411
44.7319094,-93.21772,50201
47.8106521,-122.3773552,40727
39.1156615,-77.5636015,47673
25.5808323,-80.3468593,43328
32.7995738,-97.2691817,43580
33.9166805,-117.9000604,40963
28.6934076,-81.5322149,45587
34.79981,-87.677251,40059
25.8195424,-80.3553302,50213
32.4709761,-85.0007653,37498
32.6518004,-96.9083366,39605
39.9525839,-75.1652215,1553165
36.0726354,-79.7919754,279639
33.7513419,-117.9939921,91739
33.1433723,-117.1661449,89387
36.5297706,-87.3594528,142357
33.9401088,-118.1331593,113242
42.466763,-70.9494938,91589
28.0394654,-81.9498042,100710
41.8455877,-87.7539448,84103
35.9382103,-77.7905339,56954
47.9252568,-97.0328547,54932
